SCAN SUMMARY
"Target URL","Security Score","Endpoints Analyzed","Swagger URL","Scanned At"
"https://api.meramonitor.com/swagger/internal/swagger.json","0","789","https://api.meramonitor.com/swagger/internal/swagger.json","2026-08-17T14:28:42.2064507Z"

SEVERITY COUNTS
"Critical","High","Medium","Low"
"0","0","107","2"

VULNERABILITY FINDINGS
"Severity","Title","Source","Rule","CWE","OWASP","Method","Endpoint","Description","Evidence","Recommendation"
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AdminDashboard/GetTimeProductivityByReportManager","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AdminDashboard/GetTimeProductivityByReportManager","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AdminDashboard/GetTimeProductivityByTeam","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AdminDashboard/GetTimeProductivityByTeam","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AllocateTask/GetAllAllocatedTasksByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AllocateTask/GetAllAllocatedTasksByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AllocateTask/GetAllAllocatedTasksWithStatusByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AllocateTask/GetAllAllocatedTasksWithStatusByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AllocateTask/GetAllAllocatedTasksByUserIdForWindows","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AllocateTask/GetAllAllocatedTasksByUserIdForWindows","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AppUpgrade/GetPendingAppUpgradeRequestByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AppUpgrade/GetPendingAppUpgradeRequestByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AppUpgrade/GetAllUserLatestRequestByOrgId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AppUpgrade/GetAllUserLatestRequestByOrgId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/AppUpgrade/GetAllAppLogsByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/AppUpgrade/GetAllAppLogsByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Calculate/GetUsersBifurcationTotalTimeByReportManager","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Calculate/GetUsersBifurcationTotalTimeByReportManager","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Campaign/GetWidgetCampaignDetailForUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Campaign/GetWidgetCampaignDetailForUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
